Lat;Lon;name
44.55980020050426;6.0810244;Biocoop
45.89501720035846;0.9155733;E. Leclerc Drive
-22.283822400161498;166.44527719999996;Carrefour Market
48.28552719986876;4.081359;Colruyt
45.28919380043807;4.1677808;Carrefour Market
44.40840770051385;0.70756;Carrefour Market
45.9054832003569;6.1189778;Balkan Foods
42.60453114039279;9.436845606024434;E. Leclerc Drive Biguglia
-22.27214607291265;166.43829246108032;Casino Johnston
48.011070499935045;6.603491;Lidl
43.694726500540064;7.2560989;Carrefour Market
48.17607669989538;6.4476362;Monoprix
43.69485820054008;7.2567667;Super U
42.68005640052592;2.9094166;Carrefour
43.10333407727259;0.38454995885418924;Mangeons Frais
45.89980660035775;6.1163631;Le Rhône
48.29623349986617;4.0745066;Monoprix
44.49370190050863;6.5569366;Sherpa
47.79385159998635;2.1987838;Coccinelle Express
48.42322079983508;7.6626717;Esprit Frais
-22.269226554990844;166.43990520383264;Supermarché Champion
43.694683800540076;7.2555625;Carrefour Market
48.703143299765955;2.2443637;Alimentation Générale
43.69903590054;7.2385927;Super U
43.71209240053981;7.2843193;Supermarche Casino
45.89285140035879;6.0920531;E. Leclerc
48.19892259988985;6.7277623;Centre Commercial E. Leclerc
42.50014280051761;2.7595882;La Vie Claire
45.7711295003765;0.9577866;Coop
44.09224710052931;6.2337789;Marjolaine
46.48045550026172;4.4299974;Super U
43.78967450053836;4.8303986;Elephange
49.48442409957351;0.1304454;Auchan Supermarché
46.37526730028044;6.483602;La Vie Claire
46.671153700226334;5.5254269;Grand Frais
44.95496970047248;1.7126707;Spar
43.440559200542005;6.7428661;Intermarché Super
49.49040789957207;0.1042952;U Express
43.894448900535856;1.8781889;Bio Azur
50.35268639937478;3.5108627;ALDI
49.256248999629115;5.9456098;Super U
49.25209419963013;4.0254541;Carrefour City
49.1133492996643;6.8531835;Auchan
48.79709839974264;-3.0349129;Le Relais des Mousquetaires
46.84836570019189;0.7653052;Le Marché Lésignois
4.848358899517872;-52.3259483;
44.30015260051984;2.5572294;Lidl Luc-La Primaube
48.85456929972839;2.3381552;La Vie Claire
43.453420300541985;1.9949843;Intermarché
48.63353019978321;-2.0543858;La Vie Claire
43.02024160053704;0.6087133;Carrefour Contact
49.27327189962493;6.1178438;Carrefour Contact
45.20004333950305;6.669236035989879;Casino
48.83921189973221;2.3946987;Auchan Supermarché
45.97994600034559;4.7355647;Intermarché
48.803836799740964;2.1743394;Super U
48.84597719973051;2.3516799;Naturalia
48.65202249977861;2.3984741;Sofra
48.66885359977444;2.1191802;E. Leclerc Drive
48.96556019970086;1.8618677;Carrefour
50.266396099393255;3.2181873;Carrefour Contact
43.11442970053902;5.9502025;Casino
47.873486199967665;3.9693797;E. Leclerc
48.83706649973273;2.481461;G20
47.23146030011265;-0.1214517;Netto
44.00543990053247;5.0503967;MyBioShop
43.308117700541516;5.4002876;Lidl
-16.731003300463158;-151.44237729999998;Leogite
43.600928100541225;1.3537674;Carrefour Market
44.04362661974156;1.3868592510089697;E. Leclerc Drive
43.3072623005415;5.4047997;Alimentation - chez Manssoura
44.82455570048404;-0.5780165;Carrefour City
48.09382319991521;-1.6724084;Carrefour City
44.62254410049986;6.6345523;
48.58396619979545;7.7466382;Monoprix
49.03426819968383;2.0184659;picard
48.86567019972564;2.3559471;Carrefour City
49.09049689966992;0.6023027;Carrefour Market
42.63252120052389;8.9379628;Casino
45.7527814003791;4.8512308;
42.97113510053582;1.6082695;Biocoop
47.40926670007388;-0.3199681;Rapid' Market
48.97015979969972;2.2618733;Supermarché Diagonal
48.803476799741055;2.2895061;Marché Franprix
47.01025000015915;5.1574264;bi1
44.54457760050527;-0.2639133;E. Leclerc Drive
45.7838579003747;3.121853;Géant Drive
45.739220200381;3.1408118;Carrefour Express
44.71672182563873;4.611056407735632;Lidl
48.72479159976058;2.0834016;Naturéo Magny-Les-Hameaux
48.87409809972353;2.3550319;Monoprix
44.17940020052566;6.6251966;Proxi
43.63321460054089;1.4635206;Biocoop
48.67563369977276;7.8435087;Match
44.82787300070279;0.48315627245678694;Promocash
46.3010898002933;-1.0962536;Coop
49.23053289963545;-0.4606164;Les Caves de Rosel
47.476125700058994;-0.5986426;Super U
43.68206088528171;4.146541833075587;Biocoop
49.417729299589666;1.0424171;Hyper U
50.52633589933876;1.6273746;E. Leclerc
44.542306700505435;4.7475879;Lidl
48.779378399747046;2.3390453;Franprix
43.641320100540796;1.4331003;Aldi
45.788045400374095;3.0823534;Auchan
48.68234439977111;2.1689296;P'tit Frais
48.75907399975208;1.9348074;ALDI
48.15833719989967;-0.4124467;Lidl
49.397353499594615;2.7874546;Aldi
45.359299300429974;5.5948055;Super U Drive
48.825977799735476;2.2479913;Impérial Exo
47.549537900042495;2.4475153;Super U
45.76580780037725;4.8442844;Auchan Drive
48.695894899767744;2.2944919;Franprix
43.277336600541275;5.3926593;Carrefour Market
43.5679794005415;7.015542;E. Leclerc
49.023894699686416;0.4041434;Intermarché
46.56458700024633;0.3580112;Le Marché de Léopold
46.90800990017997;-1.37781;Carrefour Contact
43.84218138001375;1.23958027865476;Intermarché
45.92004510035472;6.8665632;Le Petit Casino de Ravanel Le Rouge
45.76303460037766;4.8662113;LIDL
48.84438359973091;2.2914736;Monoprix
48.77890709974715;2.2807779;Monoprix
48.054931499924564;0.4835245;Aldi
48.89460659971846;2.4196143;Biocoop
50.496164299344905;2.4822718;Aldi
48.94693549970548;2.1469651;Casino
48.84416639973097;2.4174555;La Chinoise
43.098317900538696;5.8975408;Aldi
48.83624849973295;2.7097525;Tang Frères
